,Country/Region,count
0,United States,54442
1,US,22356
2,Canada,3287
3,United Kingdom,728
4,Germany,586
5,France,324
6,Netherlands,300
7,England,291
8,Finland,255
9,Switzerland,219
10,Ireland,181
11,Australia,161
12,China,103
13,england,101
14,Israel,101
15,India,89
16,Colombia,81
17,Sweden,71
18,Ethiopia,55
19,CAN,54
20,Singapore,48
21,New Zealand,47
22,United Arab Emirates,34
23,Mexico,29
24,Italy,28
25,South Africa,28
26,Denmark,21
27,canada,19
28,Brazil,19
29,Spain,19
30, -,15
31,Morocco,14
32,Belgium,13
33,USA,13
34,Mongolia,13
35,Portugal,11
36,Chile,11
37,Thailand,11
38,Japan,10
39,Norway,9
40,Argentina,9
41,Austria,9
42,Pakistan,9
43,Scotland,8
44,Cyprus,8
45,Nigeria,7
46,Turkey,7
47,Jamaica,7
48,Hong Kong,7
49,Latvia,6
50,Taiwan,6
51,Russia,6
52,Ukraine,5
53,Laos,5
54,Saudi Arabia,5
55,Costa Rica,5
56,Isle of Man,5
57,Serbia,5
58,Indonesia,5
59,Albania,4
60,Malaysia,4
61,Bolivia,4
62,Puerto Rico,4
63,Nederland,4
64,Cayman Islands,3
65,Egypt,3
66,Kazakhstan,3
67,germany,3
68,Mauritius,3
69,Philippines,3
70,Lithuania,3
71,Uruguay,3
72,israel,3
73,china,3
74,Jersey,3
75,dubai,2
76,Luxembourg,2
77,El Salvador,2
78,Panama,2
79,Macao,2
80,Africa,2
81,Paraguay,2
82,Poland,2
83,Peru,2
84,Vietnam,2
85,Korea (Republic of),2
86,mexico,2
87,Holy See,2
88,North Macedonia,2
89,Tunisia,2
90,"Ontario, Canada",2
91,Cameroon,2
92,india,2
93,Croatia,2
94,Georgia,2
95,Bulgaria,2
96,South Korea,2
97,Estonia,2
98,Columbia,2
99,Czech Republic,2
100,Moldova,2
101,International,1
102,Virgin Islands (U.S.),1
103,Qatar,1
104,Iceland,1
105,Unknown,1
106,Greece,1
107,Gabon,1
108,Belarus,1
109,Montenegro,1
110,CA,1
111,Malta,1
112,Lesotho,1
113,30329,1
114,NY,1
115,GA,1
116,Macedonia,1
117,Saudia Arabia,1
118,"Alberta, Canada",1
119,Phillippines,1
120,Colombia ,1
121,Guyana,1
122,belgium,1
123,Seychelles,1
124,Dominican Republic,1
125,Iran,1
126,Gambia,1
127,Monaco,1
128,The Netherlands,1
129,Ghana,1
130,Algeria,1
131,Haiti,1
132,switzerland,1
133,Armenia,1
134,monaco,1
135,Iraq,1
136,brasil,1
137,netherlands,1
138,ukraine,1
139,norway,1
140,italy,1
141,Guernsey,1
142,Bangladesh,1
143,Afghanistan,1
144,Namibia,1
145,Hungary,1
146,Rwanda,1
147,Kenya,1
148,colombia,1
149,taiwan,1
150,Bosnia and Herzegovina,1
151,australia,1
152,Sri Lanka,1
153,Brasil,1
154,Guatemala,1
155,United States of America,1
156,costa rica,1
157,Zambia,1
